time,pos1,pos2,vel1,vel2,tau1,tau2
2.423358666896819784e+02,-4.869535362783246613e-01,2.336537727931631281e-01,-1.907288609411167957e-01,-1.907288609411167957e-01,-7.589743589743598307e-01,8.791208791208759976e-03
2.423378670215606405e+02,-4.873350118257420149e-01,2.340352483405805095e-01,-1.907061280613860932e-01,1.907061280613860932e-01,-7.589743589743598307e-01,2.930402930402919992e-03
2.423398671150207235e+02,-4.877164873731593686e-01,2.336537727931631281e-01,-1.907288609411167957e-01,-1.907288609411167957e-01,-7.706959706959715106e-01,2.930402930402919992e-03
2.423418674468993856e+02,-4.877164873731593686e-01,2.336537727931631281e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.706959706959715106e-01,2.930402930402919992e-03
2.423438675403594686e+02,-4.880979629205767778e-01,2.340352483405805095e-01,-1.907288609411167957e-01,1.907288609411167957e-01,-7.765567765567772396e-01,2.051282051282043994e-02
2.423458676338195517e+02,-4.884794384679942425e-01,2.340352483405805095e-01,-1.907288609411167957e-01,0.000000000000000000e+00,-7.589743589743598307e-01,-2.930402930402919992e-03
2.423478677272796347e+02,-4.884794384679942425e-01,2.336537727931631281e-01,0.000000000000000000e+00,-1.907288609411167957e-01,-7.589743589743598307e-01,8.791208791208759976e-03
2.423498680591582968e+02,-4.888609140154117072e-01,2.336537727931631281e-01,-1.907061280613860932e-01,0.000000000000000000e+00,-7.589743589743598307e-01,2.930402930402919992e-03
2.423518681526183798e+02,-4.888609140154117072e-01,2.340352483405805095e-01,0.000000000000000000e+00,1.907288609411167957e-01,-7.706959706959715106e-01,2.930402930402919992e-03
2.423538684844970419e+02,-4.892423895628290609e-01,2.340352483405805095e-01,-1.907061280613860932e-01,0.000000000000000000e+00,-7.706959706959715106e-01,1.465201465201459996e-02
2.423558685779571249e+02,-4.892423895628290609e-01,2.340352483405805095e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.589743589743598307e-01,-2.930402930402919992e-03
2.423578686714172079e+02,-4.896238651102464701e-01,2.336537727931631281e-01,-1.907288609411167957e-01,-1.907288609411167957e-01,-7.648351648351655596e-01,1.465201465201459996e-02
2.423598687648772909e+02,-4.896238651102464701e-01,2.340352483405805095e-01,0.000000000000000000e+00,1.907288609411167957e-01,-7.648351648351655596e-01,2.930402930402919992e-03
2.423618690967559530e+02,-4.896238651102464701e-01,2.336537727931631281e-01,0.000000000000000000e+00,-1.907061280613860932e-01,-7.648351648351655596e-01,8.791208791208759976e-03
2.423638691902160360e+02,-4.900053406576639348e-01,2.336537727931631281e-01,-1.907288609411167957e-01,0.000000000000000000e+00,-7.589743589743598307e-01,2.930402930402919992e-03
2.423658695220946981e+02,-4.900053406576639348e-01,2.340352483405805095e-01,0.000000000000000000e+00,1.907061280613860932e-01,-7.648351648351655596e-01,2.930402930402919992e-03
2.423678696155547811e+02,-4.900053406576639348e-01,2.336537727931631281e-01,0.000000000000000000e+00,-1.907288609411167957e-01,-7.531135531135541017e-01,8.791208791208759976e-03
2.423698697090148642e+02,-4.900053406576639348e-01,2.340352483405805095e-01,0.000000000000000000e+00,1.907288609411167957e-01,-7.531135531135541017e-01,2.051282051282043994e-02
2.423718698024749472e+02,-4.900053406576639348e-01,2.336537727931631281e-01,0.000000000000000000e+00,-1.907288609411167957e-01,-7.531135531135541017e-01,-2.930402930402919992e-03
2.423738701343536093e+02,-4.903868162050812884e-01,2.336537727931631281e-01,-1.907061280613860932e-01,0.000000000000000000e+00,-7.472527472527462633e-01,8.791208791208759976e-03
2.423758702278136923e+02,-4.900053406576639348e-01,2.336537727931631281e-01,1.907288609411167957e-01,0.000000000000000000e+00,-7.472527472527462633e-01,8.791208791208759976e-03
2.423778703212737753e+02,-4.900053406576639348e-01,2.336537727931631281e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.472527472527462633e-01,2.930402930402919992e-03
2.423798704147338583e+02,-4.900053406576639348e-01,2.336537727931631281e-01,0.000000000000000000e+00,0.000000000000000000e+00,-7.355311355311346944e-01,8.791208791208759976e-03
2.423818707466125204e+02,-4.903868162050812884e-01,2.336537727931631281e-01,-1.907061280613860932e-01,0.000000000000000000e+00,-7.355311355311346944e-01,1.465201465201459996e-02
2.423838708400726034e+02,-4.900053406576639348e-01,2.336537727931631281e-01,1.907288609411167957e-01,0.000000000000000000e+00,-7.296703296703288544e-01,8.791208791208759976e-03
2.423858711719512655e+02,-4.900053406576639348e-01,2.340352483405805095e-01,0.000000000000000000e+00,1.907061280613860932e-01,-7.296703296703288544e-01,8.791208791208759976e-03
